cfg_id,done,auc,std,secs,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,max_bin,min_gain_to_split
0,1,0.82468,0.00213,85,127,80,0.97536,0.866,1,0.2481,0.00421,511,
1,1,0.82253,0.00113,52,127,40,0.72962,0.66685,1,0.00373,0.40138,127,
2,1,0.80591,0.00344,16,63,80,0.96928,0.50039,1,9.30778,0.29507,255,
3,1,0.8096,0.00231,22,63,150,0.71597,0.64561,1,0.28016,0.00361,511,
4,1,0.81896,0.00169,24,63,40,0.69123,0.99162,1,0.07363,2.75272,511,
5,1,0.8173,0.0011,16,31,10,0.53253,0.97444,1,7.28665,1.71234,127,
6,1,0.80846,0.00495,17,63,150,0.61545,0.62051,1,0.54082,0.27541,511,
7,1,0.82587,0.00377,50,127,10,0.62939,0.83126,1,0.01765,0.1203,255,
8,1,0.81778,0.00328,22,255,150,0.98479,0.88757,1,5.7279,3.79585,255,
9,1,0.81059,0.00306,17,127,80,0.52261,0.66267,1,0.03587,0.01217,127,
10,1,0.82789,0.00157,73,255,20,0.98263,0.80352,1,0.01271,0.01531,127,
11,1,0.82177,0.00252,39,31,10,0.99344,0.88612,1,0.00624,0.00105,511,
12,1,0.82556,0.00182,36,255,30,0.99261,0.9196,1,0.03138,0.00294,127,0.00158
13,1,0.81705,0.00169,28,255,40,0.94017,0.91242,1,0.00113,0.81232,255,0.07535
14,1,0.82397,0.00101,28,191,30,0.87751,0.79127,1,0.02051,0.01976,127,0.01121
15,1,0.82734,0.00263,47,255,15,0.857,0.99213,1,0.00382,0.00187,255,0.00251
16,1,0.82436,0.00099,37,255,30,0.93886,0.71394,1,0.03303,0.00325,127,0.00106
17,1,0.8255,0.00453,28,127,30,0.93449,0.81562,1,0.0011,0.00493,255,0.00759
18,1,0.8201,0.00043,28,255,30,0.92428,0.71032,1,0.18763,0.00598,255,0.03241
19,1,0.82182,0.00428,30,191,15,0.93516,0.70939,1,0.12756,0.02235,255,0.06161
20,1,0.82628,0.00204,34,191,30,0.85678,0.7976,1,0.00937,0.00652,127,0.01491
21,1,0.82256,0.00127,30,127,30,0.94106,0.7828,1,0.0055,0.00313,127,0.09414
22,1,0.81531,0.00238,47,383,10,0.87981,0.70166,1,0.10931,0.132,127,0.03805
23,1,0.82425,0.00226,55,255,40,0.98895,0.89532,1,0.19382,0.35491,255,0.00459
